"","video_name","up_name","watch_ct","chat_ct","chat_per1kview"
"1","一般打到这里就投降了【水无月菌】","
                水无月菌
              ",1751000,7055,4.03
"2","燕子，别忘记学习啊！艾特给身边不学习的他们！","
                数学汤家凤
              ",2914000,2592,0.89
"3","全能发明家为何受穷？【小约翰】","
                小约翰可汗
              ",2428000,18000,7.41
"4","《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」","
                崩坏星穹铁道
              ",1680000,6466,3.85
"5","【何同学】我找到了我最喜欢的数码产品，但是...","
                老师好我叫何同学
              ",6669000,34000,5.1
"6","60元一位，10个菜，竟然全都不如这碗重庆米饭…","
                盗月社食遇记
              ",1729000,10000,5.78
"7","印度国民小吃，脆球饼！","
                刘庸干净又卫生
              ",2481000,26000,10.48
"8","快乐燃脂｜跟练收藏一起来！","
                刘畊宏willliu
              ",1838000,4027,2.19
"9","千万不能问男友和闺蜜这些问题！！","
                宝剑嫂
              ",1160000,8317,7.17
"10","《原神》PV短片——「雪霁逢椿」","
                原神
              ",5855000,67000,11.44
"11","【别人班VS我们班】","
                勇敢的小衰男
              ",2431000,497,0.2
"12","2018年–2022年，4年的彼此奔赴…我们领证啦！","
                米梦杰
              ",698000,3130,4.48
"13","印度洋海深4800米，遇到台风是种什么样的感觉？30万吨的巨轮跟树叶一样，深海恐惧症无进","
                八零航海
              ",3240000,9425,2.91
"14","来自五常的压迫感【中文填词】全程高燃！","
                星霜鉴定
              ",1131000,1868,1.65
"15","方便面不能吃，饮料不能喝，是谁在制造食品焦虑！ #科普 #方便面","
                中国食品报融媒体
              ",2070000,1258,0.61
"16","“老板，你这酸苹果甜不甜？”","
                往往老布
              ",2518000,902,0.36
"17","鉴定网络热门艺术（21）","
                站不起来的蒙蒙
              ",1884000,6001,3.19
"18","看懂这个视频，保证你升职加薪","
                狈总
              ",1539000,355,0.23
"19","“你管这叫过家家？”","
                _傑傑菌_
              ",971000,819,0.84
"20","听我解释啊","
                吴彦祖秃顶版
              ",1831000,1871,1.02
"21","《好 言 难 劝》","
                清爽美男子
              ",2935000,2595,0.88
"22","个人单曲《Wandering Singer》完整版MV","
                珈乐Carol
              ",153000,4444,29.05
