"","video_name","up_name","watch_ct","chat_ct","chat_per1kview"
"1","一般打到这里就投降了【水无月菌】","
                水无月菌
              ",1751000,7055,4.03
"2","《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」","
                崩坏星穹铁道
              ",1680000,6466,3.85
"3","《原神》PV短片——「雪霁逢椿」","
                原神
              ",5855000,67000,11.44
"4","西天取经是骗局！天地为棋，众生为子！黑神话前世《斗战神》讲了个什么故事？取经是东西天斗争的牺牲品06","
                川同学不穿童鞋
              ",1207000,4601,3.81
"5","那个要靠原神买房的吃鸡主播现在怎么样了","
                雷雨Lyy
              ",7e+05,7078,10.11
"6","《钓 鱼》","
                图灵映画
              ",1172000,445,0.38
"7","LOL垃圾英雄拯救计划4：在世真龙1V5！【有点骚东西】","
                上海滩许Van强
              ",988000,5806,5.88
"8","【空洞骑士】我们真的能做到！无伤四锁五门首杀！","
                Remto丶
              ",490000,7453,15.21
"9","五个人也别想出来守水晶！","
                尴尬的铁根er
              ",903000,3149,3.49
"10","《艾尔登法环》大型Boss第一视角","
                TGBUS电玩巴士
              ",1714000,458,0.27
"11","烤驾照","
                杜海皇
              ",746000,6586,8.83
"12","退休不如跳舞！","
                某幻君
              ",558000,7486,13.42
"13","《崩坏3》阿波尼亚心理咨询室","
                崩坏3第一偶像爱酱
              ",418000,5394,12.9
"14","【王老菊】大脑升级人！| 艾尔登法环EP.20","
                怕上火暴王老菊
              ",582000,22000,37.8
"15","【原神】刀镡速刷路线【神里绫华突破材料】","
                Ziv紫薇
              ",330000,402,1.22
"16","你管这玩意儿叫live2D？是live2D 但是米哈游！","
                亚食人
              ",609000,2252,3.7
"17","【罗汉鬼套路】奥拉夫改版 金钟罩铁楞鬼！","
                罗汉解说
              ",878000,1667,1.9
"18","因为桑启这新英雄，中单鬼谷子逆天了...","
                木下结草
              ",1038000,890,0.86
"19","导  弹  争  霸  ！","
                鲁大能
              ",930000,8693,9.35
"20","网 课 现 状","
                锤子game
              ",837000,746,0.89
"21","2042嗝了 我们还能爽玩什么","
                南云鸟羽
              ",509000,1954,3.84
"22","《魔兽世界》全新内容“巨龙时代”宣传动画","
                网易暴雪游戏视频
              ",1739000,5563,3.2
"23","绫 华 P V 录 制 事 故","
                霍霍霍祸尾氏
              ",2033000,617,0.3
"24","LOL新英雄『虚空女皇』曝光：虚空魔鬼鱼,开R可变换形态!打野英雄,一条紫色的虚空魔鬼鱼~","
                LOL小绿毛资讯
              ",1830000,1834,1
