"","video_name","up_name","watch_ct","chat_ct","chat_per1kview"
"1","【何同学】我找到了我最喜欢的数码产品，但是...","
                老师好我叫何同学
              ",6669000,34000,5.1
"2","超实用！手机游戏【实时翻译神器】 即时汉化，告别游戏文盲！","
                一只大橘喵噢
              ",537000,393,0.73
"3","秒杀所有Windows掌机？Steam Deck 天价首发 真的好玩么？","
                大狸子切切里
              ",633000,2825,4.46
"4","《 核 彩 城 堡 2.0 》","
                开箱嘤嘤怪
              ",571000,1082,1.89
"5","热水器水管电手，地线带电，是从哪里来的电呢？","
                城阳电工电路
              ",1431000,663,0.46
"6","10秒7个G！究竟什么瞬间值得用8K RAW来记录！ Nikon Z 9 2.0 ! 8.3K N-RAW","
                Linksphotograph
              ",352000,2810,7.98
"7","一分钱一分货的，K50。","
                爱玩的建钢
              ",516000,998,1.93
"8","B 数 显 示 器","
                黑人黑科技
              ",558000,798,1.43
"9","ipad por2022横空出世","
                清辰0
              ",1889000,57,0.03
"10","能打游戏？我愿称它为最强的远程桌面！","
                晨钟酱Official
              ",397000,329,0.83
"11","iPad无纸化学习｜三个方法搞定PDF教材资源电子书","
                友人朦
              ",1322000,591,0.45
"12","「HYK」今年买手机，要么2000元极致性价比，要么咬咬牙顶级旗舰机。","
                我是HYK
              ",280000,2336,8.34
"13","预防社恐！教你如何第一次乘坐私人飞机像“老司机“一样","
                超跑爱丽丝Super
              ",1207000,288,0.24
"14","五年了，不会还有人在用小米6吧？","
                穷评
              ",298000,1410,4.73
"15","开源痛苦面具","
                罗伯特Z
              ",2595000,727,0.28
"16","室友和睦相处器","
                STR
              ",340000,179,0.53
"17","中国人不骗中国人！全网最简单C盘清理攻略","
                攀升电脑
              ",2567000,7037,2.74
"18","你没见过的电子元器件的另一面","
                Chiphome芯片之家
              ",243000,119,0.49
"19","【亦】收购暴雪，力战腾讯？游戏的未来，内容or社交？","
                林亦LYi
              ",546000,5461,10
"20","「小泽」荣耀Magic4至臻版评测：影像提升来自等边三角形？","
                钟文泽
              ",286000,3063,10.71
"21","华为 MatePad Paper 墨水屏开箱体验【BB Time第362期】","
                TESTV官方频道
              ",207000,1379,6.66
"22","iPhone就是个“辣鸡”？！","
                痞仔伯爵
              ",234000,534,2.28
"23","【笔吧问答】MX系列独显还有存在的意义吗？为什么笔记本不做视频输入功能？","
                笔吧评测室
              ",167000,4538,27.17
"24","打开拼多多9.9电话手表","
                FinalUnique
              ",266000,138,0.52
"25","相当豪华！次世代4K显示器盘点，你未来的显示器可能就长这样","
                喵喵折App
              ",158000,1109,7.02
"26","客服直白得让我想哭","
                王丶大白
              ",401000,34,0.08
"27","扩展屏幕、无线音箱、服务器，淘汰的旧手机还可以做这些！","
                玄离199
              ",236000,412,1.75
"28","大哥说这个教程好用哈哈哈","
                深圳潮诚杰极速修
              ",224000,104,0.46
"29","2指秒变4指！这才是吃鸡手机天花板！","
                狙击手麦克
              ",2422000,327,0.14
"30","【短的发布会】实现全民闪充自由？千元机霸真我Q5搭载旗舰闪充！","
                短的发布会
              ",167000,514,3.08
"31","民航客机的窗户上为什么要钻个小洞，不怕漏气吗？详解其背后原理","
                奇闻局社
              ",2016000,53,0.03
"32","儿子虽然才18个月，但是非要吵着买这台Xbox Series x早教机","
                哈尔滨金钰珍珠岩厂
              ",680000,134,0.2
"33","只有蓝色LED获诺贝尔奖！LED灯颜色这么多！","
                爱上半导体
              ",333000,394,1.18
"34","整整耗时1周，我终于把力扣上热度最高的Java面试八股文整理成了视频合集（Java基础，Redis，MySQL，JVM，高并发多线程，分布式，微服务，网络）","
                Java技术之路
              ",60000,273,4.55
"35","我的一万块花得值吗？来自第55位三星S22 Ultra用户的评测","
                时代玩家
              ",131000,1151,8.79
"36","没有充电口的手机——“无孔旗舰”魅族zero 深度体验【海缤说】","
                老朋友王海缤
              ",178000,582,3.27
"37","【享拆】Mac Studio 基础版拆解：性能跟不上散热系列~","
                微机分WekiHome
              ",133000,1073,8.07
"38","MIUI极度实用的小功能","
                DERISA初心
              ",133000,216,1.62
"39","「用了红米K50，iPhone 13沦为备用机」","
                王波粒
              ",185000,749,4.05
"40","2分30秒分享五个摄影创意","
                Fotoglobal
              ",793000,223,0.28
"41","会飞的海豚飞行器","
                蛋蛋飞行器
              ",2752000,1705,0.62
"42","花费4000元！耗时10天！散热背夹横评实测！数据一目了然~","
                韭菜实验室
              ",474000,1823,3.85
"43","国家出品硬核APP你都知道吗？","
                匿名程序员
              ",236000,37,0.16
"44","要了解的枕边人，邻国军事实力。16位邻居家底儿，有点长15分钟。","
                铁皮轮胎
              ",227000,2038,8.98
"45","AMD：这回买不到矿卡了吧，intel超频 7.5GHz 破纪录","
                司尺音
              ",160000,305,1.91
"46","写字机器人的第三种控制方式，一键脱机写字。再也回不去了……","
                物联智控
              ",219000,71,0.32
"47","1199元起售！千元闪充旗舰，真我Q5系列体验评测","
                科技美学
              ",164000,669,4.08
"48","【抽奖预告】总价值50000元，无聊的开箱B站一亿播放福利！","
                无聊的开箱
              ",156000,1567,10.04
"49","酷安封神的App！光速干掉30G垃圾，让手机快3倍","
                我懂个App
              ",118000,758,6.42
"50","【闲聊】《你当我是小白》","
                学员老冯
              ",71000,2712,38.2
"51","国行首发！量产最小 OLED 游戏电视来了  LG C2 评测","
                先看评测
              ",125000,758,6.06
"52","大家觉得这功能咋样？","
                好群主模型
              ",731000,190,0.26
"53","捡到一个看不懂的电路图","
                蜂狂的石头
              ",227000,171,0.75
"54","【Vlog】人员近百！影视飓风的下一步是...","
                影视飓风
              ",1340000,12000,8.96
"55","13mini全是槽点？真正喜欢的人可能根本不在乎——亦周真体验","
                亦周真体验
              ",143000,577,4.03
"56","巨熊北北，我的机甲创作，男人的浪漫就是有钱就做机甲！永远做此间少年。","
                肖将军神奇炼兽师
              ",96000,127,1.32
"57","你的内存买对了么？买内存前你最该知道的6件事儿","
                远古时代装机猿
              ",776000,4531,5.84
"58","【Find N折叠屏】疫情期间的正确打开方式","
                Yoko视频工作室
              ",313000,71,0.23
"59","营收全球第一：国产显示面板终结韩国17年统治","
                蒸気火鸡
              ",417000,871,2.09
"60","超全面！内存选购万能攻略，一站式内存基础知识入门指南！8大参数全方位剖析！","
                天才赵德柱
              ",47000,788,16.77
"61","iPhone7Plus也该退休了？ iPhone7Plus VS iPadMini5","
                小北爱吃肉R
              ",2400000,9,0
"62","【大米】差距有点大！iPhone13 4GB vs 13Pro 6GB：杀后台对比","
                大米评测
              ",362000,1192,3.29
"63","这个电脑奇怪了，一插u盘就死机，看大神如何轻松秒杀","
                笔记本维修厮
              ",118000,898,7.61
"64","老黄试图拉回显卡价格失败 显卡持续暴降刹不住车了 不用到618 跌倒冰点","
                坤虫装机猿
              ",114000,577,5.06
"65","【抽奖预告】30W粉丝福利！送一台全宇宙限定分体式水冷主机！ 总价值30000元总礼品数量接近100个！仅限B站～","
                装机侠林BB
              ",136000,1325,9.74
"66","【RTX3090Ti横评】耗资10万！爆肝20天！B站最全「3090Ti对比评测」","
                三人行科技
              ",74000,2390,32.3
"67","禁摩之后","
                北方机械师
              ",703000,221,0.31
"68","2倍加速,拉爆电摩!给自行车再装一个牙盘,直接飙上90码！","
                吃a瓜
              ",138000,28,0.2
"69","24核48线程的国产处理器，这是我测试过最强的国产处理器！中科海光7169【穷三代kenaide科技】","
                穷三代kenaide科技
              ",107000,278,2.6
"70","京东自营照样翻车，千万不要不听劝买30系显卡了。","
                什么虞好多鱼
              ",126000,796,6.32
"71","《捡漏人的欧皇时刻》","
                开箱鹏
              ",337000,14,0.04
"72","【小白开箱】闪充普及！80W闪充来势汹汹：真我Q5 Pro上手评测","
                小白开箱
              ",82000,504,6.15
"73","某普通大学机械专业普通大四学生的毕业设计（工程图纸+动画总共耗时两个月）","
                Draft_Designer
              ",112000,47,0.42
"74","最未来的游戏设备【VR跑步机】深度评测 头号玩家同款","
                库特菌
              ",113000,226,2
"75","送你张RTX3090Ti","
                二斤啦啦啦啦
              ",70000,699,9.99
"76","如果面试官和我都是戏精……","
                英雄哪里出来
              ",87000,491,5.64
"77","这是厂里唯一的大学生，自从他来了以后，厂里加工中心上的活供不应求","
                机械传奇6
              ",126000,57,0.45
"78","也许是最后一次？琪琪恰恰，但是卡车~~","
                徐工集团XCMG
              ",2689000,1099,0.41
"79","华为程序员内部培训的Python教程，整整300集，零基础入门到精通，手把手带你案例项目实战！","
                爱编程的好小子
              ",21000,75,3.57
"80","最强省流助手！5分钟带你看完小米Civi 1S发布会","
                小米手机
              ",34000,343,10.09
"81","为什么微信快捷登录后，还要我验证码登录？","
                村上智慧树
              ",75000,339,4.52
"82","从漏水到超频上榜？ 拯救3970X全家桶！","
                不会超频
              ",114000,22,0.19
"83","【硬核科普】键盘上这9个键，到底有什么用？","
                王路飞CP
              ",1212000,6142,5.07
"84","一加 Ace ：不将就的新舞台？","
                爱否科技FView
              ",96000,688,7.17
"85","某宝上的「科技产品」永远不会让你失望","
                有梦想的阿肯老师
              ",82000,1596,19.46
"86","只有键盘的全息笔记本电脑！你一定会喜欢上的。","
                炫物
              ",98000,21,0.21
"87","2022年B站Java后端面试最全攻略，满足99%人的大厂offer梦：基础到高级渗透25个技术伐","
                马士兵教育-马小晶
              ",390000,961,2.46
"88","【2022最新版】马士兵亲授：Java面试突击训练全套教程（渗透大厂高频面试点，跳槽涨薪、面试必刷）","
                马士兵教育官方账号
              ",20000,30,1.5
"89","在实力面前，钢板驼背都是浮云","
                大国工程师
              ",102000,57,0.56
"90","自造抗战中的民24节马克沁重机枪模型，听啪啪声就知道枪手行不行","
                杰客机械师
              ",89000,13,0.15
"91","那些不推荐的CPU","
                ZoveyChen
              ",93000,295,3.17
